Event	ID	Name			Wwise Object Path	Notes
	47709903	Joker_defeated			\Default Work Unit\Joker_defeated	
	356481741	Joker_shock			\Default Work Unit\Joker_shock	
	358587790	Joker_anger			\Default Work Unit\Joker_anger	
	582494196	Monk_neutral			\Default Work Unit\Monk_neutral	
	1500935143	Monk_shock			\Default Work Unit\Monk_shock	
	1594237959	Monk_laughter			\Default Work Unit\Monk_laughter	
	1629372480	Joker_nausea			\Default Work Unit\Joker_nausea	
	1723791802	Joker_neutral			\Default Work Unit\Joker_neutral	
	2254712665	King_defeated			\Default Work Unit\King_defeated	
	2556390999	King_shock			\Default Work Unit\King_shock	
	2569383713	Joker_laughter			\Default Work Unit\Joker_laughter	
	2874373212	Monk_anger			\Default Work Unit\Monk_anger	
	3078172358	Monk_nausea			\Default Work Unit\Monk_nausea	
	3413749847	King_laughter			\Default Work Unit\King_laughter	
	3438112393	Monk_defeated			\Default Work Unit\Monk_defeated	
	3568600182	King_nausea			\Default Work Unit\King_nausea	
	3572847844	King_neutral			\Default Work Unit\King_neutral	
	3991942870	Music			\Default Work Unit\Music	
	4022620300	King_anger			\Default Work Unit\King_anger	
	4158285989	GameOver			\Default Work Unit\GameOver	

In Memory Audio	ID	Name	Audio source file		Wwise Object Path	Notes	Data Size
	37135803	Head_chopped_off	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Weapons, Axe, Battle Axe, Chop, Impact, Person, Fleshy Wound, Guts 03 SND22216 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\PlayerCharacter\Head_chopped_off		192952
	100611333	Voices, Reaction, Male, Gasp 03 SND23319 1	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Reaction, Male, Gasp 03 SND23319 1_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\Jester\Jester_shocked\Voices, Reaction, Male, Gasp 03 SND23319 1		133160
	127497375	Voices, Laugh, Male, Insane, Laughing, Laughs 01 SND63770 3	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Laugh, Male, Insane, Laughing, Laughs 01 SND63770 3_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\Jester\Jester_Win\Voices, Laugh, Male, Insane, Laughing, Laughs 01 SND63770 3		936432
	135238718	Voices, Efforts, Male, Fight, Angry Grunts 01 SND62136 2	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Efforts, Male, Fight, Angry Grunts 01 SND62136 2_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\King\King_Anger\Voices, Efforts, Male, Fight, Angry Grunts 01 SND62136 2		113466
	136713009	Voices, Reaction, Male, In Peril, Gasp, Fear 01 SND23725	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Reaction, Male, In Peril, Gasp, Fear 01 SND23725_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\Jester\Jester_shocked\Voices, Reaction, Male, In Peril, Gasp, Fear 01 SND23725		87644
	143040322	Human, Vomit, Male, Sick, Into Bowl 01 SND23457	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Human, Vomit, Male, Sick, Into Bowl 01 SND23457_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\King\King_Nausea\Human, Vomit, Male, Sick, Into Bowl 01 SND23457		60096
	153537970	Voices, Reaction, Tut x3 SND23679	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Reaction, Tut x3 SND23679_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\Monk\Monk_shock\Voices, Reaction, Tut x3 SND23679		158940
	221411208	Crowd_booing	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Crowds, Angry, Upset, Booing SND0204 1_FE6C7F52.wem		\Actor-Mixer Hierarchy\Default Work Unit\Ambient\Crowd_booing		1158664
	300433330	Voices, Laugh, Male, Insane, Laughing Out Loud Crazy SND63753	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Laugh, Male, Insane, Laughing Out Loud Crazy SND63753_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\Monk\Monk_defeated\Voices, Laugh, Male, Insane, Laughing Out Loud Crazy SND63753		358700
	300503656	Voices, Reaction, Male, Sigh, Bored 01 SND23419	C:\Users\rzakh\Documents\GGJ2024cv2\GGJ2024c_WwiseProject\.cache\Mac\SFX\Voices, Reaction, Male, Sigh, Bored 01 SND23419_10C4C929.wem		\Actor-Mixer Hierarchy\Default Work Unit\New Actor-Mixer\Enemies\King\King_Neutral\Voices, Reaction, Male, Sigh, Bored 01 SND23419		133466
